comment,emotion
"Essa casa mal-assombrada me dá arrepios só de olhar.",medo
"Que aspecto decadente e repugnante!",desgosto
"Estou pulando de felicidade com essa novidade!",alegria
"Que raiva, não consigo tolerar essa falta de educação!",raiva
"Fiquei besta com essa habilidade, que surpresa!",surpresa
"Essa criatura bizarra me deixou aterrorizado.",medo
"Que ambiente sujo e asqueroso!",desgosto
"Que alegria contagiante, estou amando tudo isso!",alegria
"A dor da perda é insuportável, que tristeza.",tristeza
"Fiquei chocado com a crueldade dessa história, que surpresa!",surpresa
"Essa voz sombria me deu muito medo.",medo
"Que gosto azedo e ruim!",desgosto
"Estou radiante de alegria com esse presente!",alegria
"Que raiva, me sinto desrespeitado!",raiva
"Fiquei impressionado com a sua dedicação, que surpresa!",surpresa
"Essa figura espectral me deixou paralisado de medo.",medo
"Que fedor de coisa estragada!",desgosto
"Que dia ensolarado e alegre!",alegria
"A tristeza me abate nesse momento difícil.",tristeza
"Fiquei maravilhado com a grandiosidade desse monumento, que surpresa!",surpresa
"Essa sombra misteriosa me causa muito medo.",medo
"Que sensação pegajosa e nojenta!",desgosto
"Estou explodindo de felicidade com essa surpresa!",alegria
"Que raiva, não consigo aceitar essa injustiça!",raiva
"Fiquei estupefato com a complexidade desse mecanismo, que surpresa!",surpresa
"Essa história de terror me deu pesadelos.",medo
"Que aparência viscosa e repugnante!",desgosto
"Que festa divertida e alegre!",alegria
"A melancolia me envolve nesse final de tarde.",tristeza
"Fiquei embasbacado com a precisão desse trabalho, que surpresa!",surpresa
"Essa casa abandonada no alto da colina me dá calafrios.",medo
"Que cheiro rançoso e desagradável!",desgosto
"Estou nas nuvens de tanta alegria com essa notícia!",alegria
"Que raiva, não consigo acreditar nessa traição!",raiva
"Fiquei abismado com a beleza dessa dança, que surpresa!",surpresa
"Essa figura alta e escura me deixou apavorado.",medo
"Que gosto amargo e persistente!",desgosto
"Que momento especial e alegre!",alegria
"A saudade dos bons tempos traz muita tristeza.",tristeza
"Fiquei perplexo com a inteligência artificial, que surpresa!",surpresa
"Essa lenda antiga me causa muito medo.",medo
"Que textura grudenta e nojenta!",desgosto
"Estou transbordando de alegria com essa conquista!",alegria
"Que raiva, me sinto frustrado!",raiva
"Fiquei admirado com a sua resiliência, que surpresa!",surpresa
"Essa sombra na parede se movendo me deu um susto.",medo
"Que fedor insuportável de esgoto!",desgosto
"Que dia radiante e cheio de alegria!",alegria
"A angústia me consome nesse período incerto.",tristeza
"Fiquei boquiaberto com a inovação desse projeto, que surpresa!",surpresa
"Essa floresta densa e escura me dá arrepios.",medo
"Que gosma verde e nojenta!",desgosto
"Estou muito feliz por fazer parte disso!",alegria
"Que raiva, não consigo tolerar essa arrogância!",raiva
"Fiquei chocado com a reviravolta desse filme, que surpresa!",surpresa
"Essa voz sussurrando no escuro me deu muito medo.",medo
"Que lixo acumulado, que horror!",desgosto
"Que alegria estar celebrando com vocês!",alegria
"A dor da perda é um buraco no peito, que tristeza.",tristeza
"Fiquei maravilhado com a complexidade desse sistema, que surpresa!",surpresa
"Essa casa antiga e isolada me dá calafrios só de imaginar.",medo
"Que sujeira incrustada e repugnante!",desgosto
"Estou pulando de felicidade com essa oportunidade!",alegria
"Que raiva, me sinto impotente diante disso!",raiva
"Fiquei embasbacado com a sua criatividade, que surpresa!",surpresa
"Essa criatura com olhos vermelhos me deixou aterrorizado.",medo
"Que ambiente insalubre e asqueroso!",desgosto
"Que festa animada e cheia de alegria!",alegria
"O luto é uma jornada difícil, cheia de tristeza.",tristeza
"Fiquei estupefato com a precisão desse mecanismo, que surpresa!",surpresa
"Essa rua mal iluminada à noite me dá muito medo.",medo
"Que líquido turvo e nojento!",desgosto
"Estou radiante de felicidade com essa notícia inesperada!",alegria
"Que raiva, não consigo entender essa falta de consideração!",raiva
"Fiquei abismado com a grandiosidade dessa estrutura, que surpresa!",surpresa
"Essa sombra alongada se movendo lentamente me deixou apavorado.",medo
"Que comida estragada e intragável!",desgosto
"Que dia maravilhoso e cheio de alegria!",alegria
"A tristeza me invade nesse momento de despedida.",tristeza
"Fiquei perplexo com a velocidade dessa transformação, que surpresa!",surpresa
"Essa história sombria me deu calafrios na espinha.",medo
"Que cheiro de mofo e desagradável!",desgosto
"Estou muito feliz por ter vocês aqui!",alegria
"Que raiva, me sinto injustiçado!",raiva
"Fiquei admirado com a sua eloquência, que surpresa!",surpresa
"Essa figura fantasmagórica na janela me deu muito medo.",medo
"Que textura pegajosa e nojenta!",desgosto
"Que momento de pura alegria e celebração!",alegria
"A saudade dos amigos traz muita tristeza.",tristeza
"Fiquei boquiaberto com a beleza natural desse lugar, que surpresa!",surpresa
"Essa casa abandonada na floresta me dá arrepios só de pensar.",medo
"Que aspecto decadente e repugnante!",desgosto
"Estou pulando de felicidade com essa conquista merecida!",alegria
"Que raiva, não consigo tolerar essa hipocrisia!",raiva
"Fiquei besta com a sua habilidade manual, que surpresa!",surpresa
"Essa criatura disforme me deixou aterrorizado.",medo
"Que ambiente sujo e asqueroso!",desgosto
"Que alegria contagiante, estou amando cada segundo!",alegria
"A dor da perda é um vazio inexplicável, que tristeza.",tristeza
"Fiquei chocado com a complexidade desse enigma, que surpresa!",surpresa
"Essa voz rouca e misteriosa me deu muito medo.",medo
"Que lixo espalhado, que nojo!",desgosto
"Que alegria estar compartilhando esse momento com vocês!",alegria
"A melancolia toma conta de mim nessa noite fria.",tristeza
"Fiquei maravilhado com a riqueza cultural desse lugar, que surpresa!",surpresa
"Essa rua escura e silenciosa à noite me dá muito medo.",medo
"Que líquido viscoso e repugnante!",desgosto
"Estou transbordando de alegria com essa notícia fantástica!",alegria
"Que raiva, não consigo entender essa falta de profissionalismo!",raiva
"Fiquei abismado com a precisão desse instrumento, que surpresa!",surpresa
"Essa sombra dançando na parede me deixou apavorado.",medo
"Que comida azeda e intragável!",desgosto
"Que dia especial e cheio de felicidade!",alegria
"A angústia me corrói nesse período de espera.",tristeza
"Fiquei perplexo com a sutileza dessa arte, que surpresa!",surpresa
"Essa história macabra me deu calafrios na espinha.",medo
"Que cheiro de queimado e desagradável!",desgosto
"Estou muito feliz por fazer parte dessa equipe!",alegria
"Que raiva, me sinto desamparado!",raiva
"Fiquei admirado com a sua capacidade de superação, que surpresa!",surpresa
"Essa figura sombria no canto do quarto me deu muito medo.",medo
"Que textura arenosa e nojenta!",desgosto
"Que momento de pura alegria e celebração!",alegria
"A saudade dos entes queridos traz muita tristeza.",tristeza
"Fiquei boquiaberto com a magnitude dessa construção, que surpresa!",surpresa
"Essa casa velha e abandonada no meio do nada me dá arrepios.",medo
"Que aspecto decadente e repugnante!",desgosto
"Estou pulando de felicidade com essa oportunidade única!",alegria
"Que raiva, não consigo tolerar essa ignorância!",raiva
"Fiquei besta com a sua inteligência afiada, que surpresa!",surpresa
"Essa criatura horripilante se aproximando me deixou aterrorizado.",medo
"Que ambiente insalubre e asqueroso!",desgosto
"Que alegria contagiante, estou amando cada instante!",alegria
"A dor da perda é uma ferida que não cicatriza, que tristeza.",tristeza
"Fiquei chocado com a reviravolta inesperada, que surpresa!",surpresa
"Essa voz fria e distante me deu muito medo.",medo
"Que lixo jogado por toda parte, que nojo!",desgosto
"Que alegria estar reunido com todos vocês!",alegria
"A melancolia me envolve nessa noite chuvosa.",tristeza
"Fiquei maravilhado com a beleza da natureza, que surpresa!",surpresa
"Essa rua escura e deserta no final da noite me dá muito medo.",medo
"Que líquido viscoso e repugnante!",desgosto
"Estou transbordando de alegria com essa notícia maravilhosa!",alegria
"Que vídeo incrível, adorei cada segundo!","alegria"
"Não acredito que isso aconteceu, que tristeza...","tristeza"
"Meu Deus, que susto, quase caí da cadeira!","medo"
"Que nojo, como alguém pode fazer isso?","desgosto"
"Estou tão animado com esse lançamento, mal posso esperar!","alegria"
"Que raiva, esse cara é insuportável!","raiva"
"Nossa, nunca imaginei que isso fosse possível!","surpresa"
"Que decepção, esperava muito mais desse vídeo.","tristeza"
"Que energia boa, esse vídeo me deixou tão feliz!","alegria"
"Que medo, não consigo nem assistir até o final.","medo"
"Que absurdo, isso é inaceitável!","raiva"
"Que coisa nojenta, nunca mais vejo isso.","desgosto"
"Uau, que reviravolta inesperada!","surpresa"
"Que vídeo maravilhoso, me emocionou muito!","alegria"
"Que vontade de chorar vendo isso...","tristeza"
"Que raiva, sempre a mesma coisa!","raiva"
"Que surpresa boa, não esperava por isso!","surpresa"
"Que horror, isso é muito perturbador.","medo"
"Que coisa repugnante, me deu ânsia.","desgosto"
"Que alegria, esse vídeo fez meu dia!","alegria"
"Que tristeza, esse assunto me deixa pra baixo.","tristeza"
"Que ódio, não suporto esse tipo de gente!","raiva"
"Que susto, meu coração disparou!","medo"
"Que nojo, isso é intragável.","desgosto"
"Nossa, que surpresa, nunca imaginei isso!","surpresa"
"Que felicidade, esse vídeo é perfeito!","alegria"
"Que decepção, achei que seria melhor.","tristeza"
"Que raiva, isso é uma palhaçada!","raiva"
"Que medo, não vou dormir hoje à noite.","medo"
"Que vídeo fantástico, estou apaixonado!","alegria"
"Que tristeza ver isso acontecendo...","tristeza"
"Que nojo, isso é simplesmente horrível.","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que surpresa, isso foi totalmente inesperado!","surpresa"
"Que ódio, isso me tira do sério!","raiva"
"Que alegria, esse vídeo é muito bom!","alegria"
"Que tristeza, me partiu o coração.","tristeza"
"Que coisa nojenta, que vontade de vomitar.","desgosto"
"Que medo, isso é assustador demais!","medo"
"Que raiva, não aguento mais isso!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que vídeo incrível, me deixou muito feliz!","alegria"
"Que decepção, esperava algo diferente.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que horror!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa boa, adorei saber disso!","surpresa"
"Que alegria, esse vídeo é sensacional!","alegria"
"Que tristeza, não consigo parar de chorar.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é muito assustador!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que felicidade, esse vídeo é tudo!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento demais!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que vídeo maravilhoso, adorei!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, nunca esperava por isso!","surpresa"
"Que alegria, esse vídeo é incrível!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é um absurdo!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que felicidade, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, não suporto isso!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que vídeo fantástico, me inspirou!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repugnante!","desgosto"
"Que susto, quase morri de medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi incrível!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, adorei o vídeo!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é intragável!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo incrível, estou muito feliz!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que alegria, esse vídeo é sensacional!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de partir o coração.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso é inadmissível!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que vídeo maravilhoso, adorei!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é um absurdo!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que felicidade, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo incrível, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que alegria, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento demais!","desgosto"
"Que susto, meu Deus, que horror!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que felicidade, adorei o vídeo!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que vídeo maravilhoso, estou apaixonado!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é repugnante!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é top!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo fantástico, me inspirou!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de partir o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é perfeito!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
